TAXON,RdRP_super_group,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,Taxon_set
Leviviricetes,Narna-Levi,Riboviria,Orthornavirae,Lenarviricota,,Leviviricetes,,,,,,,Riboviria|Orthornavirae|Lenarviricota||Leviviricetes||||||
Mitoviridae,Narna-Levi,Riboviria,Orthornavirae,Lenarviricota,,Howeltoviricetes,Cryppavirales,,Mitoviridae,,,,Riboviria|Orthornavirae|Lenarviricota||Howeltoviricetes|Cryppavirales||Mitoviridae|||
Narna-Levi,Narna-Levi,Riboviria,Orthornavirae,Lenarviricota,,,,,,,,,Riboviria|Orthornavirae|Lenarviricota||||||||
Narnaviridae,Narna-Levi,Riboviria,Orthornavirae,Lenarviricota,,Amabiliviricetes,Wolframvirales,,Narnaviridae,,,,Riboviria|Orthornavirae|Lenarviricota||Amabiliviricetes|Wolframvirales||Narnaviridae|||
Ourmiavirus,Narna-Levi,Riboviria,Orthornavirae,Lenarviricota,,Miaviricetes,Ourlivirales,,Botourmiaviridae,,Ourmiavirus,,Riboviria|Orthornavirae|Lenarviricota||Miaviricetes|Ourlivirales||Botourmiaviridae||Ourmiavirus|
Arenaviridae,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Arenaviridae|||
Negative_Bunya-Arena,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|||||
Phenuiviridae,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Phenuiviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Phenuiviridae|||
Fimoviridae,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Fimoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Fimoviridae|||
Hantaviridae,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Hantaviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Hantaviridae|||
Nairoviridae,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Nairoviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Nairoviridae|||
Nairoviridae_Orthonairovirus,Negative_Bunya-Arena,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Nairoviridae,,Orthonairovirus,,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales||Nairoviridae||Orthonairovirus|
