Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
NC_016896_Astrovirus_wild_boar,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_018669_Astrovirus_VA2,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_018702_Murine_astrovirus,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_019026_Astrovirus_VA3,Astroviridae_Mamastrovirus,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_019027_Astrovirus_VA4,Astroviridae_Mamastrovirus,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_019028_Astrovirus_MLB3,Astroviridae_Mamastrovirus,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_019494_Porcine_astrovirus_3,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_022249_Feline_astrovirus_2,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_023632_Bovine_astrovirus_B170,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_023636_Porcine_astrovirus_5,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_023674_Porcine_astrovirus_2,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_023675_Porcine_astrovirus_4,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_024297_Bovine_astrovirus,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_024472_Human_astrovirus_BF34,Astroviridae_Mamastrovirus,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_024498_Bovine_astrovirus,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_024701_Feline_astrovirus_D1,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 2,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|Mamastrovirus 2
NC_025346_Rabbit_astrovirus,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
NC_025379_Mamastrovirus_3,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,Mamastrovirus 3,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|Mamastrovirus 3
QBJ04608.1_Tasmanian_devil-associated_astrovirus_1_Sarcophilus_harrisii_491,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
QII88294.1_White-tailed_deer_astrovirus_Odocoileus_virginianus_1305,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
QPI69528.2_Feline_astrovirus_3_Felis_catus_519,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
QTP76096.1_Water_buffalo_astrovirus_Bubalus_bubalis_1307,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
UMO75842.1_Sichuan_mamastrovirus_12_1327,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
UWK09061.1_Gerbil_astrovirus_Meriones_unguiculatus_502,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
YP_009345898.1_Qinghai_Himalayan_marmot_astrovirus_1_512,Astroviridae_Mamastrovirus,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,Mamastrovirus,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae||Mamastrovirus|
