Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
noda_YP_611155_Redspotted_grouper_nervous_necrosis_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,Betanodavirus,Redspotted grouper nervous necrosis virus,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae||Betanodavirus|Redspotted grouper nervous necrosis virus
others_AAY27743_Pieris_rapae_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
others_AIO11151_Mosinovirus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
others_AKH40302_Craigies_Hill_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
others_AMO03244_Newington_virus,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QKK35397.1_Erysiphe_necator_associated_nodavirus_1_Erysiphe_necator_917,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QKN84407.1_reverse_transcriptase_Rice_Noda-like_virus_reverse_transcriptase_Oryza_sativa_986,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QOR29565.1_Bat_associated_nodavirus_Chiroptera_1031,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QTM161985_Hubei_noda-like_virus_13,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QTM162292_Hubei_noda-like_virus_15,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QTM19461_Hubei_noda-like_virus_25,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QTM24683_Hubei_noda-like_virus_14,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QTM26695_Hubei_noda-like_virus_1,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
QTM26991_Hubei_noda-like_virus_23,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
SCM32007_Hubei_diptera_virus_16,Nodaviridae,0,0,0,Riboviria,Orthornavirae,Kitrinoviricota,,Magsaviricetes,Nodamuvirales,,Nodaviridae,,,,,Tombus-Noda,Riboviria|Orthornavirae|Kitrinoviricota||Magsaviricetes|Nodamuvirales||Nodaviridae|||
